Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
homer_id,patient_demographics,,text,Record ID (HOMER ID),,,,,,y,,,,,,,
hospital_id,patient_demographics,,text,Hospital ID,,,,,,y,,,,,,,
assessor_name,patient_demographics,,text,Name of Assessor,,,,,,,,,,,,,
date_of_assessment,patient_demographics,,text,Date of Assessment,,,date_ymd,,,,,,,,,,
time_since_stroke,patient_demographics,,text,Time Since Stroke,,,,,,,,,,,,,
affected_side,patient_demographics,,radio,Affected Side,"1, Left | 2, Right | 3, Bilateral",,,,,,,,,,,,
dominant_hand,patient_demographics,,radio,Dominant Hand,"1, Left | 2, Right | 3, Ambidextrous",,,,,,,,,,,,
stroke_type,patient_demographics,,text,Stroke Type,,,,,,,,,,,,,
fss_header,fatigue_severity_scale,FATIGUE SEVERITY SCALE (FSS),descriptive,"Please circle the number between 1 and 7 which you feel best fits the following statements. This refers to your usual way of life within the last week.<br><b>1 indicates ""strongly disagree"" and 7 indicates ""strongly agree.""</b>",,,,,,,,,,,,,
fss_1_motivation,fatigue_severity_scale,,radio,1. My motivation is lower when I am fatigued.,"1, 1 - Strongly Disagree | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 - Strongly Agree",,,,,,,,,,,,
fss_2_exercise,fatigue_severity_scale,,radio,2. Exercise brings on my fatigue.,"1, 1 - Strongly Disagree | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 - Strongly Agree",,,,,,,,,,,,
fss_3_easily,fatigue_severity_scale,,radio,3. I am easily fatigued.,"1, 1 - Strongly Disagree | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 - Strongly Agree",,,,,,,,,,,,
fss_4_physical,fatigue_severity_scale,,radio,4. Fatigue interferes with my physical functioning.,"1, 1 - Strongly Disagree | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 - Strongly Agree",,,,,,,,,,,,
fss_5_problems,fatigue_severity_scale,,radio,5. Fatigue causes frequent problems for me.,"1, 1 - Strongly Disagree | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 - Strongly Agree",,,,,,,,,,,,
fss_6_sustained,fatigue_severity_scale,,radio,6. My fatigue prevents sustained physical functioning.,"1, 1 - Strongly Disagree | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 - Strongly Agree",,,,,,,,,,,,
fss_7_duties,fatigue_severity_scale,,radio,7. Fatigue interferes with carrying out certain duties and responsibilities.,"1, 1 - Strongly Disagree | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 - Strongly Agree",,,,,,,,,,,,
fss_8_disabling,fatigue_severity_scale,,radio,8. Fatigue is among my most disabling symptoms.,"1, 1 - Strongly Disagree | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 - Strongly Agree",,,,,,,,,,,,
fss_9_social,fatigue_severity_scale,,radio,"9. Fatigue interferes with my work, family, or social life.","1, 1 - Strongly Disagree | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 - Strongly Agree",,,,,,,,,,,,
fss_mean_score,fatigue_severity_scale,,calc,FSS Mean Score (Average of 9 items),([fss_1_motivation]+[fss_2_exercise]+[fss_3_easily]+[fss_4_physical]+[fss_5_problems]+[fss_6_sustained]+[fss_7_duties]+[fss_8_disabling]+[fss_9_social]) / 9,,,,,,,,,,,,
vafs_header,fatigue_severity_scale,VISUAL ANALOGUE FATIGUE SCALE (VAFS),descriptive,"Please mark an ""X"" on the number line which describes your global fatigue with 0 being worst and 10 being normal.",,,,,,,,,,,,,
vafs_score,fatigue_severity_scale,,radio,"Global Fatigue (0 = Worst, 10 = Normal)","0, 0 - Worst | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10 - Normal",,,,,,,,,,,,
sipso_header,sipso_questionnaire,Subjective Index of Physical and Social Outcome (SIPSO),descriptive,Please answer all questions based on your experience since your stroke.,,,,,,,,,,,,,
sipso_1_dress,sipso_questionnaire,,radio,"1. Since your stroke, how much difficulty do you have dressing yourself fully?","4, No difficulty at all | 3, Slight difficulty | 2, Some difficulty | 1, A lot of difficulty | 0, I cannot dress myself fully",,,,,,,,,,,,
sipso_2_move_home,sipso_questionnaire,,radio,"2. Since your stroke, how much difficulty do you have moving around all areas of the home?","4, No difficulty at all | 3, Slight difficulty | 2, Some difficulty | 1, A lot of difficulty | 0, I cannot move around all areas of the home",,,,,,,,,,,,
sipso_3_satisfaction,sipso_questionnaire,,radio,"3. Since your stroke, how satisfied are you with your overall ability to perform daily activities in and around the home?","4, Completely satisfied | 3, Mostly satisfied | 2, Fairly satisfied | 1, Not very satisfied | 0, Completely dissatisfied",,,,,,,,,,,,
sipso_4_shop,sipso_questionnaire,,radio,"4. Since your stroke, how much difficulty do you have shopping for and carrying a few items (1 bag of shopping or less) when at the shops?","4, No difficulty at all | 3, Slight difficulty | 2, Some difficulty | 1, A lot of difficulty | 0, I cannot shop for and carry a few items",,,,,,,,,,,,
sipso_5_indep_neigh,sipso_questionnaire,,radio,"5. Since your stroke, how independent are you in your ability to move around your local neighbourhood?","4, I am completely independent | 3, I prefer to have someone else with me | 2, I need occasional assistance from someone | 1, I need assistance much of the time | 0, I am completely dependent on others",,,,,,,,,,,,
sipso_sub_physical,sipso_questionnaire,,calc,Physical Integration Subscore (Items 1-5),[sipso_1_dress]+[sipso_2_move_home]+[sipso_3_satisfaction]+[sipso_4_shop]+[sipso_5_indep_neigh],,,,,,,,,,,,
sipso_6_bored,sipso_questionnaire,,radio,"6. Since your stroke, how often do you feel bored with your free time at home?","4, I am never bored with my free time | 3, A little of my free time | 2, Some of my free time | 1, Most of my free time | 0, All of my free time",,,,,,,,,,,,
sipso_7_comm,sipso_questionnaire,,radio,"7. Since your stroke, how would you describe the amount of communication between you and your friends/associates?","4, A great deal | 3, Quite a lot | 2, Some | 1, A little bit | 0, None",,,,,,,,,,,,
sipso_8_social_sat,sipso_questionnaire,,radio,"8. Since your stroke, how satisfied are you with the level of interests and activities you share with your friends/associates?","4, Completely satisfied | 3, Mostly satisfied | 2, Fairly satisfied | 1, Not very satisfied | 0, Completely dissatisfied",,,,,,,,,,,,
sipso_9_visit,sipso_questionnaire,,radio,"9. Since your stroke, how often do you visit friends/others?","4, Most days | 3, At least once a week | 2, At least once a fortnight | 1, Once a month or less | 0, Never",,,,,,,,,,,,
sipso_10_appearance,sipso_questionnaire,,radio,"10. Since your stroke, how do you feel about your appearance when out in public?","4, Perfectly happy | 3, Slightly self-conscious | 2, Fairly self-conscious | 1, Very self-conscious | 0, I try to avoid going out in public",,,,,,,,,,,,
sipso_sub_social,sipso_questionnaire,,calc,Social Integration Subscore (Items 6-10),[sipso_6_bored]+[sipso_7_comm]+[sipso_8_social_sat]+[sipso_9_visit]+[sipso_10_appearance],,,,,,,,,,,,
sipso_total_score,sipso_questionnaire,,calc,Total SIPSO Score (Max 40),[sipso_sub_physical]+[sipso_sub_social],,,,,,,,,,,,
arat_scoring_info,action_research_arm_test,SCORING SCALE,descriptive,<b>0</b> - Can perform no part of the test<br><b>1</b> - Test partially performed<br><b>2</b> - Test completed but takes abnormally long time or involves great difficulty<br><b>3</b> - Performs test normally,,,,,,,,,,,,,
